date, avg (temperature), max (temperature), min (temperature), avg (humidity), max (humidity), min (humidity), power, label
2021-01-01, -4.45, 1.4, -9.7, 64.87, 75, 52, 242.75, 0
2021-01-02, -4.79, -1.5, -8.3, 38.43, 50, 31, 229.78, 0
2021-01-03, -5.59, -2.3, -9.0, 44.39, 58, 30, 252.5, 0
2021-01-04, -3.67, 0.2, -8.3, 48.91, 69, 40, 298.45, 0
2021-01-05, -4.96, -2.5, -9.5, 53.43, 82, 31, 333.4, 0
2021-01-06, -7.25, -2.2, -11.9, 53.87, 89, 25, 356.55, 0
2021-01-07, -14.06, -9.6, -16.4, 50.3, 75, 37, 209.05, 0
2021-01-08, -14.9, -11.2, -18.5, 44.3, 55, 35, 185.54, 0
2021-01-09, -12.25, -7.7, -16.4, 44.91, 56, 37, 262.96, 0
2021-01-10, -7.89, -2.8, -12.7, 53.57, 69, 38, 233.9, 0
2021-01-11, -6.76, -4.1, -9.5, 62.22, 72, 51, 235.0, 0
2021-01-12, -4.29, -0.7, -9.3, 77.57, 93, 61, 287.78, 0
2021-01-13, 1.84, 8.2, -3.0, 82.78, 95, 65, 188.77, 0
2021-01-14, 1.64, 6.8, -3.4, 47.61, 70, 29, 162.54, 0
2021-01-15, 4.78, 9.8, 0.2, 65.57, 82, 43, 192.67, 0
2021-01-16, -4.48, -1.7, -8.2, 58.91, 78, 39, 192.03, 0
2021-01-17, -5.9, -1.6, -10.8, 55.65, 86, 32, 252.82, 0
2021-01-18, -3.27, -0.2, -8.4, 66.57, 90, 34, 282.34, 0
2021-01-19, -6.44, -0.4, -11.6, 38.43, 54, 20, 271.78, 0
2021-01-20, -0.48, 7.1, -6.4, 38.35, 54, 24, 244.94, 0
2021-01-21, 4.4, 6.9, 2.7, 59.87, 96, 37, 229.24, 0
2021-01-22, 5.53, 6.6, 4.9, 93.17, 97, 90, 237.99, 0
2021-01-23, 7.64, 11.9, 5.2, 67.17, 92, 50, 212.09, 0
2021-01-24, 7.47, 13.8, 2.4, 62.91, 79, 45, 249.86, 0
2021-01-25, 7.92, 13.7, 3.0, 61.78, 83, 37, 294.44, 0
2021-01-26, 5.7, 7.1, 2.4, 79.61, 95, 65, 271.97, 0
2021-01-27, 1.88, 6.5, -1.8, 48.83, 85, 21, 273.1, 0
2021-01-28, -1.89, 0.9, -8.9, 53.65, 93, 38, 259.41, 0
2021-01-29, -8.77, -5.0, -11.6, 39.43, 49, 31, 372.36, 0
2021-01-30, -1.71, 4.9, -6.9, 58.22, 80, 41, 304.78, 0
2021-01-31, 2.72, 8.6, -3.6, 57.09, 76, 35, 200.77, 0
2021-02-01, 5.87, 9.2, 0.1, 76.74, 94, 52, 209.94, 0
2021-02-02, -5.23, -2.5, -8.2, 44.52, 75, 30, 269.17, 0
2021-02-03, -3.69, 1.2, -9.3, 61.43, 93, 44, 190.93, 0
2021-02-04, -3.25, 0.5, -7.3, 50.83, 95, 30, 229.77, 0
2021-02-05, 0.9, 6.1, -4.3, 70.78, 80, 65, 191.19, 0
2021-02-06, 6.65, 9.4, 4.5, 79.74, 88, 74, 165.8, 0
2021-02-07, 4.3, 7.4, -2.0, 68.04, 95, 31, 227.0, 0
2021-02-08, -2.91, -0.1, -5.3, 43.83, 57, 30, 248.4, 0
2021-02-09, -1.1, 4.4, -5.9, 49.83, 65, 29, 238.13, 0
2021-02-10, 3.05, 7.0, -1.4, 74.09, 86, 64, 178.77, 0
2021-02-11, 5.67, 10.8, 1.5, 71.96, 92, 48, 179.15, 0
2021-02-12, 6.56, 13.7, 0.6, 61.35, 85, 31, 254.69, 0
2021-02-13, 7.49, 15.0, 1.0, 50.78, 73, 26, 238.74, 0
2021-02-14, 9.45, 13.7, 6.5, 46.13, 57, 32, 192.05, 0
2021-02-15, 2.03, 7.7, -4.9, 65.7, 94, 36, 150.55, 0
2021-02-16, -4.92, -1.5, -6.5, 60.0, 83, 38, 228.53, 0
2021-02-17, -8.21, -5.4, -10.3, 44.3, 56, 34, 285.41, 0
2021-02-18, -5.92, -0.7, -10.5, 44.17, 53, 34, 265.17, 0
2021-02-19, 0.99, 8.8, -7.0, 64.43, 81, 51, 216.91, 0
2021-02-20, 8.73, 14.8, 5.6, 60.7, 91, 26, 215.32, 0
2021-02-21, 10.78, 17.2, 4.7, 66.09, 85, 48, 195.15, 0
2021-02-22, 8.4, 12.3, 1.1, 60.26, 84, 25, 255.1, 0
2021-02-23, 0.18, 3.9, -3.1, 33.7, 43, 23, 235.1, 0
2021-02-24, 2.76, 9.5, -2.8, 32.17, 44, 21, 261.58, 0
2021-02-25, 4.11, 8.0, 0.8, 36.0, 44, 26, 216.75, 0
2021-02-26, 8.08, 15.5, 0.7, 33.57, 47, 20, 258.44, 0
2021-02-27, 9.54, 16.1, 4.3, 48.96, 67, 33, 222.24, 0
2021-02-28, 7.65, 10.7, 3.3, 49.22, 67, 39, 156.0, 0
2021-03-01, 5.15, 8.7, 0.6, 89.26, 100, 45, 157.27, 0
2021-03-02, 2.37, 6.4, 0.2, 75.57, 95, 48, 200.86, 0
2021-03-03, 4.23, 9.6, -1.2, 65.52, 93, 38, 172.11, 0
2021-03-04, 7.14, 13.0, 2.6, 62.0, 72, 50, 177.75, 0
2021-03-05, 9.06, 15.6, 3.3, 69.13, 89, 45, 198.37, 0
2021-03-06, 6.87, 11.4, 3.6, 70.61, 92, 51, 175.83, 0
2021-03-07, 6.24, 12.1, 2.1, 61.7, 72, 44, 219.24, 0
2021-03-08, 7.07, 13.5, 1.6, 59.48, 85, 33, 203.1, 0
2021-03-09, 6.71, 12.0, 2.4, 56.52, 77, 33, 154.87, 0
2021-03-10, 8.73, 17.0, 1.8, 62.22, 90, 30, 181.85, 0
2021-03-11, 10.12, 16.9, 4.8, 52.52, 80, 23, 105.78, 0
2021-03-12, 10.7, 14.8, 7.7, 55.39, 68, 41, 188.84, 0
2021-03-13, 9.22, 14.0, 4.6, 62.26, 79, 42, 232.1, 0
2021-03-14, 9.23, 14.6, 5.0, 71.39, 91, 49, 179.03, 0
2021-03-15, 10.48, 15.6, 5.1, 66.0, 87, 40, 173.35, 0
2021-03-16, 8.78, 12.6, 5.4, 53.7, 95, 27, 175.6, 0
2021-03-17, 8.8, 17.4, 1.9, 44.83, 61, 24, 246.89, 0
2021-03-18, 11.43, 18.1, 5.1, 50.74, 67, 34, 216.24, 0
2021-03-19, 15.15, 20.2, 11.6, 47.78, 61, 33, 146.38, 0
2021-03-20, 10.23, 14.2, 7.7, 72.65, 92, 44, 190.5, 0
2021-03-21, 5.97, 8.0, 3.5, 68.52, 88, 46, 125.76, 0
2021-03-22, 6.11, 10.8, 1.1, 53.87, 78, 27, 190.63, 0
2021-03-23, 8.9, 16.0, 2.7, 63.61, 90, 35, 203.4, 0
2021-03-24, 10.73, 16.7, 5.9, 60.26, 80, 40, 223.46, 0
2021-03-25, 12.22, 18.8, 7.5, 67.22, 85, 40, 296.93, 0
2021-03-26, 12.24, 20.6, 4.9, 60.87, 94, 27, 198.22, 0
2021-03-27, 11.91, 14.9, 10.3, 68.57, 100, 42, 166.97, 0
2021-03-28, 9.21, 12.8, 7.7, 95.78, 100, 89, 160.76, 0
